nama orang,geb/overl.,id,origin,birthYear,deathYear
"Aa, zr. W. van der",1908-1942/5,0,Netherlands,1908,1942/5
"Aalbers, dr. Joh. Godefr., arts",1910-1992,1,Netherlands,1910,1992
"Aalders, zr. Jacoba",1910-1999,2,Netherlands,1910,1999
"Abeel, David",1804-1846,3,United States of America,1804,1846
"Abkoude, ds. F.N.M. van",1895-1988,4,Netherlands,1895,1988
"Ackermann, Gustav, zdl.",1876-1955,5,Germany,1876,1955
"Adriaanse, A.J., zie Gemerts-Adriaanse, A.J.",,6,,,
"Adriaanse, ds. L.",1856-1947,7,Netherlands,1856,1947
"Adriani, dr. Nicolaus",1865-1926,8,Netherlands,1865,1926
"Aebersold, W.E., zdl",1903-1996,9,Switzerland,1903,1996
"Agter, H.J., zdl",1892-1957,10,Netherlands,1892,1957
"Akersloot, J., zdl.",1790/1-1830,11,Netherlands,1790/1,1830
"Akerson, Rev. Leroy Lind",1892-1921,12,United States of America,1892,1921
"Akkeren, dr. Philippus v, zdl",1910-1993,13,Netherlands,1910,1993
"Albers, C., zdl",1837-1920,14,Netherlands,1837,1920
"Albrecht, zr. Magdalene",1895-1968,15,Germany,1895,1968
"Alewijn, jhr. Anton Godfried",1877-1954,16,Netherlands,1877,1954
"Alfs, Anna",1877-1967,17,Germany,1877,1967
"Alkema, B.M., zdl",1868-1942,18,Netherlands,1868,1942
"Alkema, Menno Theod.",1894-1963,19,Netherlands,1894,1963
"Allaart Bernard, arts",1908-1999,20,Netherlands,1908,1999
"Allaart, ds. Dirk J. Bergardus",1898-1945,21,Netherlands,1898,1945
"Allstrom, Rev. Eric W.",,22,United States of America,,
"Alm, Rev. Ragnar",1900-1964+,23,Scandinavia,1900,1964+
"Alphen, J.J. van",1848/9,24,,1848/9,
"Alphen, Pauline El. van",1885-1945,25,Netherlands,1885,1945
"Alt, Gustav Adolf",1856-1921,26,Germany,1856,1921
"Alt, Marg. Adriana",1883-1962,27,Netherlands,1883,1962
"Ameler, August",1877-1940,28,Germany,1877,1940
"Amstutz, Daniel, zdl.",1906-1991,29,Switzerland,1906,1991
"Andel, zr. Corn. Cath. Herm.",1913-1997,30,Netherlands,1913,1997
"Andel, dr. H.A. van",1875-1945,31,Netherlands,1875,1945
"Anders, Emilie",1868-1922,32,Germany,1868,1922
"Anderson, E.G.O.",,33,United Kingdom,,
"Anken, zr. Roelfke van",1906-2001,34,Netherlands,1906,2001
"Anskohl, Martin",1883-1945,35,Germany,1883,1945
"Antheunisse, A., ond.",1896-1990,36,Netherlands,1896,1990
"Archer, Rev. Raymond LeRoy",1887-1970,37,United States of America,1887,1970
"Arff-Schumacher, Elli",1865-1914,38,Germany,1865,1914
"Arkel, zr. G. van, diakones  later G. Kiewiet-van Arkel",1903-1984,39,Netherlands,1903,1984
"Arms, William, zdl",1802-1889,41,United States of America,1802,1889
"Arps, B.J., zdl",1898-1962,42,Netherlands,1898,1962
"As, A. van, zdl",1886-1920,43,Netherlands,1886,1920
"Asselt, Gerrit van, zdl",1832-1910,44,Netherlands,1832,1910
"Augusteijn, zr. Jolina",1905-2000,45,Netherlands,1905,2000
"Baan, zr. Maria",1896-1994,46,Netherlands,1896,1994
"Baan, M.J.G., zie Voorst-Baan",,47,,,
"Baarbé, Cornelia, ond., evangel.",1894-1981,48,Netherlands,1894,1981
"Baarbé, zr. Hendrika",1896-,49,Netherlands,1896,
"Baarda, M.J. van, zdl",1854-1940,50,Netherlands,1854,1940
"Baars, Dingeman Joh., zdl",1907-2000,51,Netherlands,1907,2000
"Baier, Georg",1894-1987,52,Germany,1894,1987
"Bakker, Dirk,",1865-1932,53,Netherlands,1865,1932
